session_id,mechanism,noise_multiplier,l2_before,l2_after,distortion_ratio,silhouette_score,accuracy,precision,recall,f1,mae,dp_update_uri,dp_receipt,dp_receipt_uri,mode
sess-1760540327,uniform,0.0,0.4232141375541687,0.4232141375541687,0.9999999999976372,0.6503938436508179,,,,,,file://secure_store/local_updates/dp_uniform_1760540471085.pt.enc,"{'agent': 'dp-agent', 'session_id': 'sess-1760540327', 'operation': 'dp_process_update', 'params': {'clip_norm': 1.0, 'clip_applied': False, 'noise_multiplier': 0.0, 'mechanism': 'uniform', 'l2_norm_before': 0.4232141375541687, 'l2_norm_after': 0.4232141375541687}, 'outputs': ['file://secure_store/local_updates/dp_uniform_1760540471085.pt.enc'], 'timestamp': '2025-10-15T15:01:11.085401Z', 'signature': 'RW0ong4ZZ5eETaTEx14CMNxlp/e3oD+8QTFX2yP6I6Y='}",file:///home/ritik26/Desktop/BE-Major-Project/receipts/receipt_e60b79e6437c46588502cb988c849a89.json,base
sess-1760540327,uniform,0.5,0.4232141375541687,3.2292258739471436,7.630241023142081,0.6454312205314636,,,,,,file://secure_store/local_updates/dp_uniform_1760540471127.pt.enc,"{'agent': 'dp-agent', 'session_id': 'sess-1760540327', 'operation': 'dp_process_update', 'params': {'clip_norm': 1.0, 'clip_applied': False, 'noise_multiplier': 0.5, 'mechanism': 'uniform', 'l2_norm_before': 0.4232141375541687, 'l2_norm_after': 3.2292258739471436}, 'outputs': ['file://secure_store/local_updates/dp_uniform_1760540471127.pt.enc'], 'timestamp': '2025-10-15T15:01:11.127592Z', 'signature': 'AGWFyL1wCMjwWJNDci6e7bzDY7F+A6uEAx8UrqJ23RQ='}",file:///home/ritik26/Desktop/BE-Major-Project/receipts/receipt_fcc3a048fc934543ba968a97ab99c428.json,base
sess-1760540327,uniform,1.0,0.4232141375541687,6.442323684692383,15.222373529174895,0.6406851410865784,,,,,,file://secure_store/local_updates/dp_uniform_1760540471169.pt.enc,"{'agent': 'dp-agent', 'session_id': 'sess-1760540327', 'operation': 'dp_process_update', 'params': {'clip_norm': 1.0, 'clip_applied': False, 'noise_multiplier': 1.0, 'mechanism': 'uniform', 'l2_norm_before': 0.4232141375541687, 'l2_norm_after': 6.442323684692383}, 'outputs': ['file://secure_store/local_updates/dp_uniform_1760540471169.pt.enc'], 'timestamp': '2025-10-15T15:01:11.169954Z', 'signature': 'VfbKeHL0L4n1/Rrf0Qm31a3819oKtzQs4ulC/FHFxJo='}",file:///home/ritik26/Desktop/BE-Major-Project/receipts/receipt_591d3222aca4487885eac5011e9732eb.json,base
sess-1760540327,uniform,1.5,0.4232141375541687,9.664678573608398,22.836379307741215,0.6361907720565796,,,,,,file://secure_store/local_updates/dp_uniform_1760540471212.pt.enc,"{'agent': 'dp-agent', 'session_id': 'sess-1760540327', 'operation': 'dp_process_update', 'params': {'clip_norm': 1.0, 'clip_applied': False, 'noise_multiplier': 1.5, 'mechanism': 'uniform', 'l2_norm_before': 0.4232141375541687, 'l2_norm_after': 9.664678573608398}, 'outputs': ['file://secure_store/local_updates/dp_uniform_1760540471212.pt.enc'], 'timestamp': '2025-10-15T15:01:11.212815Z', 'signature': 'CjuBwUWghbvqyruLpFOwvjS22Wq05yUTv7D5ss73bDY='}",file:///home/ritik26/Desktop/BE-Major-Project/receipts/receipt_e0a151d86c4f4c1492a0798a7ccc6359.json,base
sess-1760540327,uniform,2.0,0.4232141375541687,12.889349937438965,30.455858615447966,0.6318402886390686,,,,,,file://secure_store/local_updates/dp_uniform_1760540471258.pt.enc,"{'agent': 'dp-agent', 'session_id': 'sess-1760540327', 'operation': 'dp_process_update', 'params': {'clip_norm': 1.0, 'clip_applied': False, 'noise_multiplier': 2.0, 'mechanism': 'uniform', 'l2_norm_before': 0.4232141375541687, 'l2_norm_after': 12.889349937438965}, 'outputs': ['file://secure_store/local_updates/dp_uniform_1760540471258.pt.enc'], 'timestamp': '2025-10-15T15:01:11.258300Z', 'signature': 'tT9ZhwpO/MamJGbdfh3FFGhl/AFczsDhw+11K6N2jW4='}",file:///home/ritik26/Desktop/BE-Major-Project/receipts/receipt_225f4093b7e24de98e94d3fbe3c0fe97.json,base
sess-1760540327,exponential,0.0,0.4232141375541687,0.4232141375541687,0.9999999999976372,0.6503938436508179,,,,,,file://secure_store/local_updates/dp_exponential_1760540471304.pt.enc,"{'agent': 'dp-agent', 'session_id': 'sess-1760540327', 'operation': 'dp_process_update', 'params': {'clip_norm': 1.0, 'clip_applied': False, 'noise_multiplier': 0.0, 'mechanism': 'exponential', 'l2_norm_before': 0.4232141375541687, 'l2_norm_after': 0.4232141375541687}, 'outputs': ['file://secure_store/local_updates/dp_exponential_1760540471304.pt.enc'], 'timestamp': '2025-10-15T15:01:11.305024Z', 'signature': 'ZCg5HBJH2Jc+dRePcrMbx4bIjulp0oq9epIfGuabH/0='}",file:///home/ritik26/Desktop/BE-Major-Project/receipts/receipt_84540b5691974931b44683634c3f00ec.json,base
sess-1760540327,exponential,0.5,0.4232141375541687,30.261409759521484,71.50377805036514,0.6100661158561707,,,,,,file://secure_store/local_updates/dp_exponential_1760540471348.pt.enc,"{'agent': 'dp-agent', 'session_id': 'sess-1760540327', 'operation': 'dp_process_update', 'params': {'clip_norm': 1.0, 'clip_applied': False, 'noise_multiplier': 0.5, 'mechanism': 'exponential', 'l2_norm_before': 0.4232141375541687, 'l2_norm_after': 30.261409759521484}, 'outputs': ['file://secure_store/local_updates/dp_exponential_1760540471348.pt.enc'], 'timestamp': '2025-10-15T15:01:11.348927Z', 'signature': 'lIsWTgoeTCXg2ZX/bwhyrf2sFcarTsjCKnldUkIVIaE='}",file:///home/ritik26/Desktop/BE-Major-Project/receipts/receipt_cc5e5b9fb79f46aab347d676ed6f8545.json,base
sess-1760540327,exponential,1.0,0.4232141375541687,15.120074272155762,35.72677028111983,0.6288965344429016,,,,,,file://secure_store/local_updates/dp_exponential_1760540471391.pt.enc,"{'agent': 'dp-agent', 'session_id': 'sess-1760540327', 'operation': 'dp_process_update', 'params': {'clip_norm': 1.0, 'clip_applied': False, 'noise_multiplier': 1.0, 'mechanism': 'exponential', 'l2_norm_before': 0.4232141375541687, 'l2_norm_after': 15.120074272155762}, 'outputs': ['file://secure_store/local_updates/dp_exponential_1760540471391.pt.enc'], 'timestamp': '2025-10-15T15:01:11.391849Z', 'signature': 'n0UyBkJt9+cobKtNeGDdyiPnvVqHYZed/ny/4ViJjvY='}",file:///home/ritik26/Desktop/BE-Major-Project/receipts/receipt_678140b04f524575afa2ab552f000fdd.json,base
sess-1760540327,exponential,1.5,0.4232141375541687,10.074933052062988,23.805757317711667,0.6356302499771118,,,,,,file://secure_store/local_updates/dp_exponential_1760540471434.pt.enc,"{'agent': 'dp-agent', 'session_id': 'sess-1760540327', 'operation': 'dp_process_update', 'params': {'clip_norm': 1.0, 'clip_applied': False, 'noise_multiplier': 1.5, 'mechanism': 'exponential', 'l2_norm_before': 0.4232141375541687, 'l2_norm_after': 10.074933052062988}, 'outputs': ['file://secure_store/local_updates/dp_exponential_1760540471434.pt.enc'], 'timestamp': '2025-10-15T15:01:11.434742Z', 'signature': 'NS4wijmRxi64RipWe0pITjRzwjzcQNm3Mdd7W2fhCcA='}",file:///home/ritik26/Desktop/BE-Major-Project/receipts/receipt_049345c5bf02416fa7c480dc2cf4bc8b.json,base
sess-1760540327,exponential,2.0,0.4232141375541687,7.553842544555664,17.84874812593181,0.6391139626502991,,,,,,file://secure_store/local_updates/dp_exponential_1760540471477.pt.enc,"{'agent': 'dp-agent', 'session_id': 'sess-1760540327', 'operation': 'dp_process_update', 'params': {'clip_norm': 1.0, 'clip_applied': False, 'noise_multiplier': 2.0, 'mechanism': 'exponential', 'l2_norm_before': 0.4232141375541687, 'l2_norm_after': 7.553842544555664}, 'outputs': ['file://secure_store/local_updates/dp_exponential_1760540471477.pt.enc'], 'timestamp': '2025-10-15T15:01:11.478167Z', 'signature': 'E00iIRz64byUSIjxh9wSytvHS4mRa5szCvOYJ5coHuU='}",file:///home/ritik26/Desktop/BE-Major-Project/receipts/receipt_0eb93ecfea81443f8638fa3852d0c642.json,base
